,title,author,main_genre,sub_genre,type,price,rating,num_of_people_rated,autor_api,year_public,isbn,price_euro
559,Diary of a Wimpy Kid [Paperback] Jeff Kinney,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.6,26853.0,Jeff Kinney,2014.0,9780141358093,2.5423999999999998
564,Diary of a Wimpy Kid: Dog Days (Book 4),Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.6,15056.0,Jeff Kinney,2012.0,0141348496,2.5423999999999998
569,Diary of a Wimpy Kid 8 : Hard Luck,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹234.00,4.6,27404.0,Desconocido,,9780241342756,2.6208
571,Diary of a Wimpy Kid: The Getaway,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.6,24524.0,Desconocido,2017.0,,2.5423999999999998
573,How the Mango Got its Magic,Sudha Murty,Children's Books,Comics & Graphic Novels,Hardcover,₹129.00,4.6,428.0,Sudha Murty,2022.0,0143447076,1.4448
575,How The Bamboo Got Its Bounty,Sudha Murty,Children's Books,Comics & Graphic Novels,Hardcover,₹137.00,4.6,14.0,Sudha Murty,2024.0,0143458191,1.5344
577,Diary of a Wimpy Kid: The Box of Books (,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,"₹1,099.00",4.6,65.0,Jeff Kinney,2014.0,1419715380,12.3088
583,Diary of an Awesome Friendly Kid,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹241.00,4.5,16356.0,Jeff Kinney,2019.0,9781419740275,2.6992
593,Dog Man 1,Dav Pilkey,Children's Books,Comics & Graphic Novels,Paperback,₹455.00,4.6,24082.0,Dav Pilkey,2021.0,1338663739,5.096
594,Diary of a Wimpy Kid Box Set - Books 1 -,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,"₹2,659.69",4.5,612.0,Jeff Kinney,2018.0,9789123925865,29.788528
595,Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,Children's Books,Comics & Graphic Novels,Paperback,₹227.00,4.6,5087.0,Desconocido,2020.0,,2.5423999999999998
598,"Sapiens A Graphic History, Volume 2",Yuval Noah Harari,Children's Books,Comics & Graphic Novels,Hardcover,₹730.00,4.7,905.0,Desconocido,,9780771000256,8.176
599,MANJAVEYIL MARANANGAL,BENYAMIN,Children's Books,Comics & Graphic Novels,Paperback,₹380.00,4.4,483.0,BENYAMIN,2019.0,9788126432196,4.256
604,Knowledge Encyclopedia Space,Wonder House Books,Children's Books,Computers & Technology,Hardcover,₹599.00,4.5,139.0,DK Publishing,2015.0,0241196302,6.7088
617,Time Travelling with a Hamster,Ross Welford,Children's Books,Computers & Technology,Paperback,₹289.00,4.6,2601.0,Ross Welford,2019.0,000815631X,3.2368
620,They Both Die at the End,Adam Silvera,Children's Books,Computers & Technology,Paperback,₹259.00,4.4,38822.0,Adam Silvera,2017.0,9785604219669,2.9008
632,The Hundred Dresses,Eleanor Estes,Children's Books,Computers & Technology,Paperback,₹340.00,4.7,3268.0,Eleanor Estes,2016.0,1880507064,3.808
635,George's Secret Key to the Universe,Lucy Hawking,Children's Books,Computers & Technology,Paperback,₹259.00,4.6,1703.0,Stephen Hawking,2019.0,9788382020908,2.9008
636,How To Catch A Star,Oliver Jeffers,Children's Books,Computers & Technology,Board book,₹389.00,4.6,3308.0,Oliver Jeffers,2016.0,9780007536610,4.3568
637,How To Catch A Star,Oliver Jeffers,Children's Books,Computers & Technology,Paperback,₹310.00,4.6,3308.0,Oliver Jeffers,2016.0,9780007536610,3.472
641,The Berenstain Bears and Too Much TV,Stan Berenstain,Children's Books,Computers & Technology,Paperback,₹169.00,4.8,2114.0,n/a,,1451727852,1.8928
647,The Way Back Home,Oliver Jeffers,Children's Books,Computers & Technology,Board book,₹344.00,4.7,1354.0,Oliver Jeffers,2018.0,9780007323265,3.8528
655,101 Brain Booster,Wonder House Books,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,₹159.00,4.4,5985.0,Terry Eckmann,2013.0,1606792733,1.7808
659,Where Is Baby'S Belly Button?,Karen Katz,Children's Books,"Crafts, Hobbies & Practical Interests",Board book,₹259.00,4.5,13382.0,Karen Katz,2009.0,1416987339,2.9008
671,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,₹139.00,4.4,20158.0,Frances Hodgson Burnett,2065.0,0141325569,1.5568
672,My First Experiences Sticker Book: My first sticker books,Wonder House Books,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,₹155.00,4.4,1278.0,Wonder House Books,2019.0,9388369815,1.736
699,MATHS GAMES FOR CLEVER KIDS,Gareth Moore,Children's Books,"Crafts, Hobbies & Practical Interests",Paperback,₹129.00,4.3,3805.0,Gareth Moore,2018.0,9781438012384,1.4448
702,One Of Us Is Lying,Karen McManus,Children's Books,Crime & Thriller,Paperback,₹242.00,4.4,41325.0,Karen M. McManus,2017.0,0593565371,2.7104
704,As Good As Dead,Holly Jackson,Children's Books,Crime & Thriller,Paperback,₹310.00,4.5,14775.0,Holly Jackson,2021.0,000851853X,3.472
706,The Inheritance Games,Jennifer Lynn Barnes,Children's Books,Crime & Thriller,Paperback,₹301.00,4.5,24867.0,Joe Platt,2006.0,1425908829,3.3712
709,One Of Us Is Next,Karen M. McManus,Children's Books,Crime & Thriller,Paperback,₹301.00,4.5,18553.0,Karen M. McManus,2020.0,9780593175477,3.3712
712,The Brothers Hawthorne,BARNES JENNIFER LYNN,Children's Books,Crime & Thriller,Paperback,₹389.00,4.4,3592.0,Desconocido,2023.0,8382654231,4.3568
714,The Final Gambit,Jennifer Lynn Barnes,Children's Books,Crime & Thriller,Paperback,₹292.00,4.5,13616.0,Joe Dalton,1998.0,0312966601,3.2704
715,The Hawthorne Legacy,Jennifer Lynn Barnes,Children's Books,Crime & Thriller,Paperback,₹301.00,4.5,17653.0,Jennifer Lynn Barnes,2021.0,9788427223639,3.3712
720,NANCY DREW THE SECRET OF THE OLD,Carolyn G. Keene,Children's Books,Crime & Thriller,Paperback,₹275.00,4.5,4829.0,Carolyn Keene,1987.0,067163822X,3.08
722,Tintin In The Land Of The Soviets,Herge,Children's Books,Crime & Thriller,Paperback,₹559.00,4.5,831.0,Hergé,2004.0,0785909788,6.2608
724,Two Can Keep a Secret,Karen M McManus,Children's Books,Crime & Thriller,Paperback,₹292.00,4.4,9505.0,Karen M. McManus,2019.0,9780593567180,3.2704
725,Unravel Me,Tahereh Mafi,Children's Books,Crime & Thriller,Paperback,₹324.00,4.5,14022.0,Tahereh Mafi,2018.0,9780062250933,3.6288
726,King Ottokar'S Sceptre,Herge,Children's Books,Crime & Thriller,Paperback,₹429.00,4.9,699.0,Hergé,1985.0,0416605109,4.8048
730,Holes,Louis Sachar,Children's Books,Crime & Thriller,Paperback,₹330.00,4.7,29742.0,Louis Sachar,1988.0,9780606400145,3.696
732,The Crab With The Golden Claws,Herge,Children's Books,Crime & Thriller,Paperback,₹428.00,4.8,713.0,Herge,1974.0,9781484469101,4.7936
734,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Paperback,₹259.00,4.3,45510.0,F. William Nelson,1963.0,,2.9008
735,Murder At The Museum : Agatha Oddly Book 2,Lena Jones,Children's Books,Crime & Thriller,Paperback,₹234.00,4.6,848.0,Lena Jones,2020.0,9780008348922,2.6208
737,The Blue Lotus,Hergé,Children's Books,Crime & Thriller,Paperback,₹474.00,4.7,458.0,Roberta Latow,2025.0,0747269378,5.3088
739,Tintin In America,Herge,Children's Books,Crime & Thriller,Paperback,₹464.34,4.8,1179.0,Kg Gayan Sanjaya,2020.0,1656667460,5.200608
745,Byomkesh Bakshi ki Rahasyamayi Kahaniyan,SARADINDU BANDYOPADHYAY,Children's Books,Crime & Thriller,Paperback,₹130.00,4.5,1116.0,Saradindu Bandyopadhyay,2017.0,9789352661213,1.456
756,Spelling Time - Activity Workbook,Wonder House Books,Children's Books,Education & Reference,Paperback,₹99.00,4.4,199.0,Wonder House Books,2022.0,9354406432,1.1088
771,Mathematics For Class - 10 - 1062,NCERT,Children's Books,Education & Reference,Paperback,₹89.00,4.3,1298.0,NCERT (Author),2014.0,9788174506344,0.9968
775,The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,Children's Books,Education & Reference,Paperback,₹623.00,4.4,6448.0,PAULINE,2014.0,9781107442771,6.9776
781,Knowledge Encyclopedia Space,Wonder House Books,Children's Books,Education & Reference,Hardcover,₹599.00,4.5,139.0,DK Publishing,2015.0,0241196302,6.7088
786,Handbook of Chemistry,Arihant Experts,Children's Books,Education & Reference,Paperback,₹189.00,4.4,3041.0,Reiner Luckenbach,1984.0,9783540525295,2.1168
798,Understanding Economic Development - Economic For Class - 10 - 1070,NCERT,Children's Books,Education & Reference,Paperback,₹45.00,4.4,928.0,NCERT,2015.0,8174506551,0.504
801,"Magic Drum and Other Favourite Stories, The [Paperback] Sudha Murty",Murty Sudha,Children's Books,"Fairy Tales, Folk Tales & Myths",Paperback,₹167.00,4.7,3943.0,SUDHA MURTY,2015.0,0143333631,1.8704
804,Girl Who Drank The Moon,Kelly Barnhill,Children's Books,"Fairy Tales, Folk Tales & Myths",Paperback,₹241.00,4.5,25969.0,Kelly Regan Barnhill,2016.0,9781501935572,2.6992
807,Greatest Short Stories For Children,Various,Children's Books,"Fairy Tales, Folk Tales & Myths",Paperback,₹149.00,4.2,230.0,Various,2021.0,9789354403699,1.6688
816,How the Mango Got its Magic,Sudha Murty,Children's Books,"Fairy Tales, Folk Tales & Myths",Hardcover,₹129.00,4.6,428.0,Sudha Murty,2022.0,0143447076,1.4448
817,The Magic of the Lost Story,Sudha Murty,Children's Books,"Fairy Tales, Folk Tales & Myths",Paperback,₹197.59,4.7,650.0,Sudha Murty,2023.0,0143458183,2.213008
818,How The Bamboo Got Its Bounty,Sudha Murty,Children's Books,"Fairy Tales, Folk Tales & Myths",Hardcover,₹137.00,4.6,14.0,Sudha Murty,2024.0,0143458191,1.5344
824,GERONIMO STILTON: THE KINGDOM OF FANTASY,GERONIMO STILTON,Children's Books,"Fairy Tales, Folk Tales & Myths",Paperback,₹380.00,4.6,3955.0,Elisabetta Dami,2018.0,8413893577,4.256
840,The Golden Key (Geronimo Stilton and the Kingdom of Fantasy #15),Geronimo Stilton,Children's Books,"Fairy Tales, Folk Tales & Myths",Hardcover,₹399.00,4.4,185.0,Elisabetta Dami,2018.0,8413893577,4.4688
845,Heroes of Olympus : The Lost Hero,Rick Riordan,Children's Books,"Fairy Tales, Folk Tales & Myths",Paperback,₹259.00,4.7,25085.0,Rick Riordan,2014.0,9780606358972,2.9008
846,"The Gruffalo: A Push, Pull and Slide Book",Julia Donaldson,Children's Books,"Fairy Tales, Folk Tales & Myths",Board book,₹279.00,4.5,1146.0,Julia Donaldson,2021.0,9781784231736,3.1248
852,The Book Thief,Markus Zusak,Children's Books,"Family, Personal & Social Issues",Paperback,₹275.00,4.6,30372.0,Markus Zusak,2016.0,0385391358,3.08
854,The Wonderful Things You Will Be,Emily Winfield Martin,Children's Books,"Family, Personal & Social Issues",Hardcover,₹324.00,4.4,28636.0,Emily Winfield Martin,2019.0,0375973273,3.6288
857,THE KOALA WHO COULD,Rachel Bright,Children's Books,"Family, Personal & Social Issues",Paperback,₹289.00,4.7,6586.0,Rachel Bright,2016.0,9786257662031,3.2368
858,The Rabbit Listened,Cori Doerrfeld,Children's Books,"Family, Personal & Social Issues",Hardcover,₹389.00,4.9,4309.0,Cori Doerrfeld,2018.0,9781912650149,4.3568
861,The Inheritance Games,Jennifer Lynn Barnes,Children's Books,"Family, Personal & Social Issues",Paperback,₹301.00,4.5,24867.0,Joe Platt,2006.0,1425908829,3.3712
862,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Paperback,₹137.00,4.5,14684.0,Thomas Barichella,2013.0,1467707376,1.5344
863,Meesha Makes Friends,Tom Percival,Children's Books,"Family, Personal & Social Issues",Paperback,₹205.00,4.8,816.0,Tom Percival,2020.0,9781547605194,2.296
865,Be Kind,Pat Zietlow Miller,Children's Books,"Family, Personal & Social Issues",Paperback,₹326.00,4.7,3842.0,Pat Zietlow Miller,2018.0,1626723214,3.6512
873,POSITIVELY TEENAGE,Nicola Morgan,Children's Books,"Family, Personal & Social Issues",Paperback,₹308.00,4.5,758.0,Nicola Morgan,2018.0,1445158140,3.4495999999999998
876,The Brothers Hawthorne,BARNES JENNIFER LYNN,Children's Books,"Family, Personal & Social Issues",Paperback,₹389.00,4.4,3592.0,Desconocido,2023.0,8382654231,4.3568
880,The Final Gambit,Jennifer Lynn Barnes,Children's Books,"Family, Personal & Social Issues",Paperback,₹292.00,4.5,13616.0,Joe Dalton,1998.0,0312966601,3.2704
884,The Hawthorne Legacy,Jennifer Lynn Barnes,Children's Books,"Family, Personal & Social Issues",Paperback,₹301.00,4.5,17653.0,Jennifer Lynn Barnes,2021.0,9788427223639,3.3712
888,Five Feet Apart,Rachael Lippincott,Children's Books,"Family, Personal & Social Issues",Paperback,₹275.00,4.6,15165.0,Rachael Lippincott,2050.0,153445215X,3.08
891,"Stand Tall, Molly Lou Melon",Patty Lovell,Children's Books,"Family, Personal & Social Issues",Hardcover,₹324.00,4.8,1626.0,Patty Lovell,2001.0,0399234160,3.6288
895,TOM GATES: ABSOLUTELY FANTASTIC,Pichon L,Children's Books,"Family, Personal & Social Issues",Paperback,₹200.00,4.7,4619.0,Liz Pichon,1999.0,9781407134512,2.2399999999999998
896,"MY WISDOM BOOK: Everyday Shlokas, Mantras, Bhajans and More",Swami Mukundananda,Children's Books,"Family, Personal & Social Issues",Paperback,₹159.00,4.7,137.0,Swami Mukundananda,2022.0,9355204507,1.7808
899,The Day You Begin,Jacqueline Woodson,Children's Books,"Family, Personal & Social Issues",Hardcover,₹348.16,4.8,7245.0,Jacqueline Woodson,2018.0,9781524741754,3.899392
902,Harry Potter and the Philosopher's Stone,J.K. Rowling,Children's Books,Fantasy,Paperback,₹353.00,4.7,107802.0,J. K. Rowling,1997.0,0747545723,3.9536
905,Harry Potter and the Chamber of Secrets,J.K. Rowling,Children's Books,Fantasy,Paperback,₹390.00,4.7,86490.0,J. K. Rowling,1998.0,9780439107341,4.368
906,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Paperback,₹259.00,4.6,18515.0,Roald Dahl,1964.0,9782070603558,2.9008
907,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Children's Books,Fantasy,Paperback,₹381.45,4.8,74639.0,J. K. Rowling,1999.0,2070643042,4.27224
908,Harry Potter and the Goblet of Fire,J.K. Rowling,Children's Books,Fantasy,Paperback,₹542.00,4.8,67626.0,J. K. Rowling,1993.0,0747574502,6.0704
910,Diary of a Wimpy Kid: The Box of Books (,Jeff Kinney,Children's Books,Fantasy,Paperback,"₹1,099.00",4.6,65.0,Jeff Kinney,2014.0,1419715380,12.3088
911,Harry Potter and the Half-Blood Prince,J.K. Rowling,Children's Books,Fantasy,Paperback,₹510.00,4.8,71049.0,J. K. Rowling,2016.0,9785353021872,5.712
913,Charlie and the Great Glass Elevator,Roald Dahl,Children's Books,Fantasy,Paperback,₹267.00,4.6,6216.0,Roald Dahl,1972.0,067085249X,2.9904
916,Diary of a Wimpy Kid Box Set - Books 1 -,Jeff Kinney,Children's Books,Fantasy,Paperback,"₹2,659.69",4.5,612.0,Jeff Kinney,2018.0,9789123925865,29.788528
921,Fantastic Mr Fox,Roald Dahl,Children's Books,Fantasy,Paperback,₹227.00,4.6,9878.0,Roald Dahl,1970.0,8420482919,2.5423999999999998
929,The Golden Key (Geronimo Stilton and the Kingdom of Fantasy #15),Geronimo Stilton,Children's Books,Fantasy,Hardcover,₹399.00,4.4,185.0,Elisabetta Dami,2018.0,8413893577,4.4688
931,Heroes of Olympus : The Lost Hero,Rick Riordan,Children's Books,Fantasy,Paperback,₹259.00,4.7,25085.0,Rick Riordan,2014.0,9780606358972,2.9008
933,Room on the Broom,Julia Donaldson,Children's Books,Fantasy,Paperback,₹291.00,4.7,33944.0,Julia Donaldson,2001.0,9783407792822,3.2592
936,Wonka,Roald Dahl,Children's Books,Fantasy,Paperback,₹270.00,4.7,141.0,Roald Dahl,1978.0,9780140373622,3.024
937,The Blood of Olympus (Heroes of Olympus Book 5),Rick Riordan,Children's Books,Fantasy,Paperback,₹280.00,4.7,42350.0,Rick Riordan,1809.0,9789526515090,3.136
938,Howl’s Moving Castle,Diana Wynne Jones,Children's Books,Fantasy,Paperback,₹283.00,4.7,17428.0,Diana Wynne Jones,2018.0,6053750905,3.1696
939,Charlotte's Web (A Puffin Book),E B White,Children's Books,Fantasy,Paperback,₹220.00,4.6,27899.0,Desconocido,,9780241335116,2.464
942,Percy Jackson and the Greek Gods,Rick Riordan,Children's Books,Fantasy,Paperback,₹259.00,4.7,10920.0,Rick Riordan,2020.0,9780678453186,2.9008
945,The Last Kids On Earth,Max Brallier,Children's Books,Fantasy,Paperback,₹175.00,4.7,7072.0,Max Brallier,2018.0,0670016616,1.96
947,Daughter of the Deep,Rick Riordan,Children's Books,Fantasy,Paperback,₹259.00,4.7,4168.0,Rick Riordan,2021.0,1368078516,2.9008
948,The Mystery of the Magic Mirror,Shubira Prasad,Children's Books,Fantasy,Paperback,₹165.00,0.0,0.0,Heather G. Watts,2020.0,9798649279970,1.848
949,George's Marvellous Medicine,Roald Dahl,Children's Books,Fantasy,Paperback,₹234.00,4.6,8739.0,Roald Dahl,1981.0,9780141805955,2.6208
950,Harry Potter and the Philosopher's Stone,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹313.95,4.7,107802.0,J. K. Rowling,1997.0,0747545723,3.51624
954,"Magic Drum and Other Favourite Stories, The [Paperback] Sudha Murty",Murty Sudha,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹167.00,4.7,3943.0,SUDHA MURTY,2015.0,0143333631,1.8704
956,THE BLUE UMBRELLA,Ruskin Bond,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹74.00,4.5,15544.0,Ruskin Bond,1992.0,9788171673407,0.8288
958,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹212.80,4.8,74639.0,J. K. Rowling,1999.0,2070643042,2.38336
959,Harry Potter and the Chamber of Secrets,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹298.30,4.7,86490.0,J. K. Rowling,1998.0,9780439107341,3.34096
960,Harry Potter and the Half-Blood Prince,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹313.95,4.8,71049.0,J. K. Rowling,2016.0,9785353021872,3.51624
961,Harry Potter and the Goblet of Fire,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹313.95,4.8,67626.0,J. K. Rowling,1993.0,0747574502,3.51624
963,Girl Who Drank The Moon,Kelly Barnhill,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹241.00,4.5,25969.0,Kelly Regan Barnhill,2016.0,9781501935572,2.6992
964,Diary of a Wimpy Kid: Rodrick Rules (Book 2),Jeff Kinney,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹227.00,4.6,17834.0,Jeff Kinney,2009.0,0143304550,2.5423999999999998
965,Diary of a Wimpy Kid [Paperback] Jeff Kinney,Jeff Kinney,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹227.00,4.6,26853.0,Jeff Kinney,2014.0,9780141358093,2.5423999999999998
966,Harry Potter and the Order of the Phoenix,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹313.95,4.7,66771.0,J. K. Rowling,2003.0,9781781100110,3.51624
967,Harry Potter and the Deathly Hallows,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Kindle Edition,₹313.95,4.8,87027.0,J. K. Rowling,2016.0,9788702069990,3.51624
969,Harry Potter and the Philosopher's Stone,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹353.00,4.7,107802.0,J. K. Rowling,1997.0,0747545723,3.9536
973,Harry Potter and the Chamber of Secrets,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹390.00,4.7,86490.0,J. K. Rowling,1998.0,9780439107341,4.368
975,Diary of a Wimpy Kid: Dog Days (Book 4),Jeff Kinney,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹227.00,4.6,15056.0,Jeff Kinney,2012.0,0141348496,2.5423999999999998
977,The Canterville Ghost,Oscar Wilde,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹99.00,4.3,1549.0,Oscar Wilde,1927.0,9781558586246,1.1088
978,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹259.00,4.6,18515.0,Roald Dahl,1964.0,9782070603558,2.9008
979,Diary of a Wimpy Kid 8 : Hard Luck,Jeff Kinney,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹234.00,4.6,27404.0,Desconocido,,9780241342756,2.6208
981,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹381.45,4.8,74639.0,J. K. Rowling,1999.0,2070643042,4.27224
983,The Inheritance Games,Jennifer Lynn Barnes,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹301.00,4.5,24867.0,Joe Platt,2006.0,1425908829,3.3712
985,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Audible Audiobook,₹999.00,4.7,107802.0,J. K. Rowling,2016.0,9789123513680,11.1888
986,HARRY POTTER AND THE ORDER OF THE PHOENIX - 5,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹611.00,4.7,66771.0,J. K. Rowling,2017.0,9788983925459,6.8431999999999995
987,How the Mango Got its Magic,Sudha Murty,Children's Books,"Fantasy, Science Fiction & Horror",Hardcover,₹129.00,4.6,428.0,Sudha Murty,2022.0,0143447076,1.4448
989,Harry Potter and the Goblet of Fire,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹542.00,4.8,67626.0,J. K. Rowling,1993.0,0747574502,6.0704
990,How The Bamboo Got Its Bounty,Sudha Murty,Children's Books,"Fantasy, Science Fiction & Horror",Hardcover,₹137.00,4.6,14.0,Sudha Murty,2024.0,0143458191,1.5344
993,Diary of a Wimpy Kid: The Box of Books (,Jeff Kinney,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,"₹1,099.00",4.6,65.0,Jeff Kinney,2014.0,1419715380,12.3088
999,Harry Potter and the Half-Blood Prince,J.K. Rowling,Children's Books,"Fantasy, Science Fiction & Horror",Paperback,₹510.00,4.8,71049.0,J. K. Rowling,2016.0,9785353021872,5.712
1017,Where Is Baby'S Belly Button?,Karen Katz,Children's Books,"Games, Toys & Activities",Board book,₹259.00,4.5,13382.0,Karen Katz,2009.0,1416987339,2.9008
1029,My First Experiences Sticker Book: My first sticker books,Wonder House Books,Children's Books,"Games, Toys & Activities",Paperback,₹155.00,4.4,1278.0,Wonder House Books,2019.0,9388369815,1.736
1050,101 Brain Booster,Wonder House Books,Children's Books,Geography & Cultures,Paperback,₹159.00,4.4,5985.0,Terry Eckmann,2013.0,1606792733,1.7808
1057,THE KOALA WHO COULD,Rachel Bright,Children's Books,Geography & Cultures,Paperback,₹289.00,4.7,6586.0,Rachel Bright,2016.0,9786257662031,3.2368
1064,The Magic of the Lost Story,Sudha Murty,Children's Books,Geography & Cultures,Paperback,₹197.59,4.7,650.0,Sudha Murty,2023.0,0143458183,2.213008
1066,Be Kind,Pat Zietlow Miller,Children's Books,Geography & Cultures,Paperback,₹326.00,4.7,3842.0,Pat Zietlow Miller,2018.0,1626723214,3.6512
1077,The Smartest Giant in Town,Julia Donaldson,Children's Books,Geography & Cultures,Paperback,₹287.00,4.8,6036.0,Julia Donaldson,2001.0,1529074193,3.2144
1078,NANCY DREW THE SECRET OF THE OLD,Carolyn G. Keene,Children's Books,Geography & Cultures,Paperback,₹275.00,4.5,4829.0,Carolyn Keene,1987.0,067163822X,3.08
1080,Tintin In The Land Of The Soviets,Herge,Children's Books,Geography & Cultures,Paperback,₹559.00,4.5,831.0,Hergé,2004.0,0785909788,6.2608
1084,My First Adventures Sticker Book: My first sticker books,Wonder House Books,Children's Books,Geography & Cultures,Paperback,₹155.00,4.4,850.0,Wonder House Books,2019.0,9388369823,1.736
1090,Little Blue Truck,Alice Schertle,Children's Books,Geography & Cultures,Board book,₹667.00,4.9,19039.0,Alice Schertle,2008.0,0152056610,7.4704
1097,Skeleton Key : Alex Rider,ANTHONY HOROWITZ,Children's Books,Geography & Cultures,Paperback,₹279.00,4.7,3402.0,Books Wagon,2017.0,1406364908,3.1248
1098,Good Night India,Nitya Khemka,Children's Books,Geography & Cultures,Board book,₹230.00,4.5,581.0,Nitya Khemka,2017.0,9781602194779,2.576
1103,The Book Thief,Markus Zusak,Children's Books,Growing Up & Facts of Life,Paperback,₹275.00,4.6,30372.0,Markus Zusak,2016.0,0385391358,3.08
1106,Girl Who Drank The Moon,Kelly Barnhill,Children's Books,Growing Up & Facts of Life,Paperback,₹241.00,4.5,25969.0,Kelly Regan Barnhill,2016.0,9781501935572,2.6992
1107,"Diary of a Wimpy Kid: Diper Överlöde (Book 17) (Diary of a Wimpy Kid, 17)",Jeff Kinney,Children's Books,Growing Up & Facts of Life,Paperback,₹227.00,4.5,11212.0,Jeff Kinney,2023.0,9781419767746,2.5423999999999998
1108,Diary of a Wimpy Kid: Rodrick Rules (Book 2),Jeff Kinney,Children's Books,Growing Up & Facts of Life,Paperback,₹227.00,4.6,17834.0,Jeff Kinney,2009.0,0143304550,2.5423999999999998
1109,Diary of a Wimpy Kid [Paperback] Jeff Kinney,Jeff Kinney,Children's Books,Growing Up & Facts of Life,Paperback,₹227.00,4.6,26853.0,Jeff Kinney,2014.0,9780141358093,2.5423999999999998
1111,The Wonderful Things You Will Be,Emily Winfield Martin,Children's Books,Growing Up & Facts of Life,Hardcover,₹324.00,4.4,28636.0,Emily Winfield Martin,2019.0,0375973273,3.6288
1115,One Of Us Is Lying,Karen McManus,Children's Books,Growing Up & Facts of Life,Paperback,₹242.00,4.4,41325.0,Karen M. McManus,2017.0,0593565371,2.7104
1117,THE KOALA WHO COULD,Rachel Bright,Children's Books,Growing Up & Facts of Life,Paperback,₹289.00,4.7,6586.0,Rachel Bright,2016.0,9786257662031,3.2368
1119,The Rabbit Listened,Cori Doerrfeld,Children's Books,Growing Up & Facts of Life,Hardcover,₹389.00,4.9,4309.0,Cori Doerrfeld,2018.0,9781912650149,4.3568
1122,Diary of a Wimpy Kid: Dog Days (Book 4),Jeff Kinney,Children's Books,Growing Up & Facts of Life,Paperback,₹227.00,4.6,15056.0,Jeff Kinney,2012.0,0141348496,2.5423999999999998
1125,Diary of a Wimpy Kid 8 : Hard Luck,Jeff Kinney,Children's Books,Growing Up & Facts of Life,Paperback,₹234.00,4.6,27404.0,Desconocido,,9780241342756,2.6208
1127,Diary of a Wimpy Kid: The Getaway,Jeff Kinney,Children's Books,Growing Up & Facts of Life,Paperback,₹227.00,4.6,24524.0,Desconocido,2017.0,,2.5423999999999998
1129,"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Children's Books,Growing Up & Facts of Life,Audible Audiobook,₹999.00,4.7,107802.0,J. K. Rowling,2016.0,9789123513680,11.1888
1130,Meesha Makes Friends,Tom Percival,Children's Books,Growing Up & Facts of Life,Paperback,₹205.00,4.8,816.0,Tom Percival,2020.0,9781547605194,2.296
